Font Family ,Designer ,Engineer,Version,License,Vendor,Weight,Creation Date,last update,source,
میخک,امین عابدی,امین عابدی,3.4,OFL-1.1 license ,,۹ وزن,۱۳۹۷/۰۴/۲۷,۱۴۰۰/۰۴/۰۳,https://github.com/aminabedi68/Mikhak,
استعداد,امین عابدی,امین عابدی,7.3,OFL-1.1 license ,,۹ وزن,۱۳۹۶/۰۱/۱۰,۱۴۰۰/۰۴/۰۳,https://github.com/aminabedi68/Estedad/,
آذرمهر مونواسپیس,امین عابدی,امین عابدی,1,OFL-1.1 license ,,یک سبک,۱۳۹۷/۰۳/۰۸,۱۳۹۷/۰۳/۲۸ ,https://github.com/aminabedi68/AzarMehrMonospaced,
فندق,امین عابدی,امین عابدی,1,OFL-1.1 license ,,یک سبک,۱۳۹۶/۰۴/۰۷,,https://github.com/aminabedi68/Fandogh,
آراد,محمد درویشی,محمد درویشی,1.0.1,OFL-1.1 license ,,۸ وزن,۱۴۰۳/۰۵/۰۵,۱۴۰۳/۰۶/۳۱,https://github.com/MDarvishi5124/Arad,
یونیکسل,محمد درویشی,محمد درویشی,1,OFL-1.1 license ,,یک سبک,۱۴۰۲/۰۴/۱۶,,https://github.com/MDarvishi5124/Unixel,
سورنا,محمد درویشی,محمد درویشی,1.2.0,OFL-1.1 license ,,دو سبک,۱۴۰۳/۰۱/۰۱,۱۴۰۳/۰۵/۰۹,https://github.com/MDarvishi5124/Sorena,
استعداد مَد,محمد درویشی,محمد درویشی,1.1,OFL-1.1 license ,,یک سبک,۱۴۰۳/۰۴/۰۹,۱۴۰۳/۰۷/۰۶,https://github.com/MDarvishi5124/Estedad-Mad,
وزیرمتن,صابر راستی‌کردار,صابر راستی‌کردار,33.003,OFL-1.1 license ,,۹ وزن,۱۳۹۴/۰۷/۲۱,۱۴۰۲/۰۴/۰۱,https://github.com/rastikerdar/vazirmatn,
وزیرکد,صابر راستی‌کردار,صابر راستی‌کردار,1.1.2,OFL-1.1 license ,,یک سبک,۱۳۹۵/۰۵/۲۶,۱۳۹۸/۰۱/۲۴,https://github.com/rastikerdar/vazir-code-font,
ساحل,صابر راستی‌کردار,صابر راستی‌کردار,3.4,OFL-1.1 license ,,۶ وزن,۱۳۹۵/۰۴/۰۲,۱۳۹۹/۱۲/۰۳,https://github.com/rastikerdar/sahel-font,
صمیم,صابر راستی‌کردار,صابر راستی‌کردار,4.0.5,OFL-1.1 license ,,۳ وزن,۱۳۹۶/۰۹/۰۶,۱۳۹۸/۰۱/۲۸,https://github.com/rastikerdar/samim-font,
شبنم,صابر راستی‌کردار,صابر راستی‌کردار,5.0.1,OFL-1.1 license ,,۵ وزن,۱۳۹۴/۱۱/۰۱,۱۳۹۸/۰۸/۲۵,https://github.com/rastikerdar/shabnam-font,
پرستو,صابر راستی‌کردار,صابر راستی‌کردار,2.0.1,OFL-1.1 license ,,۲ وزن,۱۳۹۵/۰۳/۰۱,۱۳۹۸/۰۹/۰۷,https://github.com/rastikerdar/parastoo-font,
تنها,صابر راستی‌کردار,صابر راستی‌کردار,0.1,OFL-1.1 license ,,یک سبک,۱۳۹۵/۱۰/۰۸,۱۳۹۷/۰۳/۲۱,https://github.com/rastikerdar/tanha-font,
گندم,صابر راستی‌کردار,صابر راستی‌کردار,0.8,OFL-1.1 license ,,یک سبک,۱۳۹۴/۱۱/۰۸,۱۳۹۸/۰۴/۰۴,https://github.com/rastikerdar/gandom-font,
ناهید,صابر راستی‌کردار,صابر راستی‌کردار,0.3,OFL-1.1 license ,,یک سبک,۱۳۹۶/۰۵/۱۸,۱۳۹۷/۰۱/۱۱,https://github.com/rastikerdar/nahid-font,
امیری,خالد حسنی,,1.003,OFL-1.1 license ,,دو وزن، سه سبک,۱۳۹۴/۰۵/۰۲,۱۴۰۴/۰۳/۲۳,https://github.com/aliftype/amiri,
Handjet,"David Březina, برنا ایزدپناه",Rosetta Type Foundry,2.004,OFL-1.1 license ,Rosetta Type Foundry,۹ وزن، ,,۱۴۰۲/۰۹/۰۱,https://github.com/rosettatype/handjet,فونت هندجت، یه سری مشکلات برای فارسی نویسی در محیط های مختلف داره.
نقطه,مهدی صادقی,مهدی صادقی,0.1.0-beta4,OFL-1.1 license ,,یک سبک,۱۴۰۰/۰۲/۰۱,۱۴۰۲/۱۱/۲۳,https://github.com/mehdisadeghi/Noqte,
مرکزی,برنا ایزدپناه، Fiona Ross ,برنا ایزدپناه,,OFL-1.1 license ,,۴ وزن,۱۳۹۶,۱۴۰۰,https://github.com/BornaIz/markazitext,در مورد این فونت اطلاعات زیادی در دسترس نیست.
اولدوز,ضحی اصغرزاده,امین عابدی,1,OFL-1.1 license ,,یک سبک,۱۴۰۳/۰۶/۱۷,۱۴۰۳/۰۶/۱۷,https://github.com/librefontfa/Ulduz,
لطیف,,,4.3,OFL-1.1 license ,SIL Writing Systems Technology ,۷ وزن,۱۳۹۶/۰۱۰۴,۱۴۰۳/۰۷/۳۰,https://github.com/silnrsi/font-lateef,
عرفان,عرفان خیراللهی,عرفان خیراللهی,1,OFL-1.1 license ,,یک سبک,۱۴۰۱/۰۲/۲۳,,https://github.com/ekm507/erfan-font,
ناهید مونو,عرفان خیراللهی,عرفان خیراللهی، صابر راستی کردار,0.4.1,OFL-1.1 license ,,یک سبک,۱۴۰۲/۱۱/۱۲,۱۴۰۲/۱۱/۱۳,https://github.com/ekm507/nahidmono,
بلاکا,Mohamed Gaber,Mohamed Gaber,1.003,OFL-1.1 license ,,سه سبک,,,https://github.com/Gue3bara/Blaka,
